,trial,block,state,p_r_0,ev_0,p_r_1,ev_1,r,a,corr,p_a_0,Q_0,p_a_1,Q_1,ll
0,0.0,0.0,1.0,0.25,-0.25,0.25,-0.25,0.5,0.0,1.0,0.5,0.18,0.5,0.0,-0.6931471805599453
1,1.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.5,0.0,0.5,0.18,-0.6931471805599453
2,2.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.7997312284440788,0.03040000000000001,0.20026877155592118,0.0,-0.22347957220780884
3,3.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.5,0.18,0.5,0.0,-0.6931471805599453
4,4.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,1.0,1.0,0.5581965779319806,0.03040000000000001,0.4418034220680194,-0.11,-0.8168902422859204
5,5.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.20026877155592118,0.0,0.7997312284440788,0.2952,-0.22347957220780884
6,6.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.09357294795131188,0.0,0.9064270520486881,0.36892800000000003,-0.0982447241171888
7,7.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.7997312284440788,0.03040000000000001,0.20026877155592118,0.0,-0.22347957220780884
8,8.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.5581965779319806,-0.08628799999999999,0.4418034220680194,0.0,-0.5830440884397665
9,9.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.05530976043231692,0.0,0.944690239567683,0.41611392,-0.056898194040157966
10,10.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,0.0,1.0,0.33989686689622617,-0.17730464,0.6601031331037739,0.0,-1.0791130400447444
11,11.0,0.0,2.0,0.25,-0.25,0.75,0.25,-0.5,1.0,1.0,0.03913275910207902,0.0,0.960867240897921,0.21456885760000002,-0.039919026383382655
12,12.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,1.0,1.0,0.20361012486905353,-0.17730464,0.7963898751309466,0.18,-0.22766642016905986
13,13.0,0.0,1.0,0.25,-0.25,0.25,-0.25,0.5,0.0,1.0,0.7464939833376621,0.19945600000000002,0.25350601666233785,-0.11,-0.29236772186435833
14,14.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,1.0,1.0,0.06017157706491608,-0.17730464,0.9398284229350838,0.2952,-0.06205794917095888
15,15.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.9153228278517925,0.04557568000000001,0.08467717214820747,-0.11,-0.0884784586076488
16,16.0,0.0,2.0,0.25,-0.25,0.75,0.25,-0.5,0.0,0.0,0.1610373754929042,-0.11,0.8389626245070958,0.21456885760000002,-1.8261187950207087
17,17.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.7679436271976058,-0.0744509696,0.23205637280239413,-0.11,-0.26403895061498067
18,18.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.5,-0.11,0.5,0.0,-0.6931471805599453
19,19.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.30024029794365076,-0.11,0.6997597020563492,-0.11,-0.3570182856503967
