,variable,alpha_pos,alpha_neg,beta,alpha_pos_hat,alpha_neg_hat,beta_hat,n_trials,n_blocks,n_sp,alpha_pos_level,alpha_neg_level,beta_level
0,alpha_pos,0.0,0.1,3.0,0.0,0.0,0.0,100,2,1,variable,low,low
1,alpha_pos,0.1111111111111111,0.1,3.0,0.014323924066654309,0.7521173560086255,20.0,100,2,1,variable,low,low
2,alpha_pos,0.2222222222222222,0.1,3.0,0.19360955512464756,0.10172756434543939,3.321174950936118,100,2,1,variable,low,low
3,alpha_pos,0.3333333333333333,0.1,3.0,0.0,0.0,0.0,100,2,1,variable,low,low
4,alpha_pos,0.4444444444444444,0.1,3.0,1.0,0.9606992440022927,1.131123121524569,100,2,1,variable,low,low
5,alpha_pos,0.5555555555555556,0.1,3.0,0.0,0.0,0.0,100,2,1,variable,low,low
6,alpha_pos,0.6666666666666666,0.1,3.0,1.0,0.4882559626718223,1.4093405847886256,100,2,1,variable,low,low
7,alpha_pos,0.7777777777777777,0.1,3.0,0.01739915857657252,0.24102071190684152,6.801834502581207,100,2,1,variable,low,low
8,alpha_pos,0.8888888888888888,0.1,3.0,0.0,0.0,0.0,100,2,1,variable,low,low
9,alpha_pos,1.0,0.1,3.0,1.0,0.4276370579600097,1.2830991680455228,100,2,1,variable,low,low
10,alpha_pos,0.0,0.1,5.0,1.0,0.4255837549444038,0.46994144681944844,100,2,1,variable,low,medium
11,alpha_pos,0.1111111111111111,0.1,5.0,0.13932017688825152,0.06999362019954425,4.721005857470619,100,2,1,variable,low,medium
12,alpha_pos,0.2222222222222222,0.1,5.0,0.029720435347989748,0.22807809632675052,19.192300435776154,100,2,1,variable,low,medium
13,alpha_pos,0.3333333333333333,0.1,5.0,0.0,0.0,3.902257747995682,100,2,1,variable,low,medium
14,alpha_pos,0.4444444444444444,0.1,5.0,0.0,0.0,0.0,100,2,1,variable,low,medium
15,alpha_pos,0.5555555555555556,0.1,5.0,0.23238075052514867,0.1380697019909949,5.833035166581071,100,2,1,variable,low,medium
16,alpha_pos,0.6666666666666666,0.1,5.0,0.4800413247095317,0.21291325287166818,3.431918558735461,100,2,1,variable,low,medium
17,alpha_pos,0.7777777777777777,0.1,5.0,0.49593468428596305,1.0,2.403883585840419,100,2,1,variable,low,medium
18,alpha_pos,0.8888888888888888,0.1,5.0,0.7085758751094976,0.2583387436582498,2.125395164800416,100,2,1,variable,low,medium
19,alpha_pos,1.0,0.1,5.0,1.0,0.21552481351135994,2.288552690124784,100,2,1,variable,low,medium
20,alpha_pos,0.0,0.1,10.0,0.0,0.0,0.0,100,2,1,variable,low,high
21,alpha_pos,0.1111111111111111,0.1,10.0,0.06492106218696674,0.09296505030772555,12.636648640801454,100,2,1,variable,low,high
22,alpha_pos,0.2222222222222222,0.1,10.0,0.14583450834911976,0.11041719965741863,11.347059862905253,100,2,1,variable,low,high
23,alpha_pos,0.3333333333333333,0.1,10.0,0.3326283665751122,0.19991828089733035,5.437586823507546,100,2,1,variable,low,high
24,alpha_pos,0.4444444444444444,0.1,10.0,0.5349705199912874,0.18288861750897667,5.1332616535388285,100,2,1,variable,low,high
