,trial,block,state,p_r_0,ev_0,p_r_1,ev_1,r,a,corr,p_a_0,Q_0,p_a_1,Q_1,ll
0,0.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-0.6931471805599453
1,1.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-0.6931471805599453
2,2.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.5,0.0,0.5,0.0,-0.6931471805599453
3,3.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.5,0.0,0.5,0.0,-0.6931471805599453
4,4.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.7997312284440788,0.18,0.20026877155592118,0.0,-1.6080949568231933
5,5.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.7997312284440788,0.18,0.20026877155592118,0.0,-0.22347957220780884
6,6.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.7464939833376621,0.1404,0.25350601666233785,0.0,-0.29236772186435833
7,7.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.8885302445622892,0.269856,0.11146975543771087,0.0,-0.11818659194169316
8,8.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.8346759391803696,0.21048767999999998,0.16532406081963036,0.0,-0.18071172625030785
9,9.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9184043960334249,0.3147121152,0.08159560396657507,0.0,-0.08511746680653032
10,10.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9495002465761383,0.38141575372799996,0.05049975342386169,0.0,-0.0518194890393212
11,11.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.9631145247175037,0.42410608238591996,0.03688547528249631,0.0,-3.2999374292064187
12,12.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9631145247175037,0.42410608238591996,0.03688547528249631,0.0,-0.037582949314727006
13,13.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9698957505270852,0.4514278927269888,0.030104249472914738,0.0,-0.030566686943835998
14,14.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9735843961917174,0.46891385134527286,0.026415603808282527,0.0,-0.026770764356194722
15,15.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.9757103241423831,0.48010486486097464,0.024289675857616856,0.0,-0.024589535657038426
16,16.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.9468805193333416,0.3744817945915602,0.05311948066665843,0.0,-0.05458236130248301
17,17.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.9043820014609473,0.292095799781417,0.09561799853905277,0.0,-0.10050343985889537
18,18.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.8522772651216685,0.22783472382950526,0.14772273487833154,0.0,-0.15984337654664632
19,19.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.7968963763333734,0.1777110845870141,0.20310362366662663,0.0,-0.22703062579247074
20,20.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.7438862606484882,0.138614645977871,0.2561137393515119,0.0,-0.29586713130815345
21,21.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.6967117039725504,0.10811942386273937,0.30328829602744956,0.0,-1.1930714537975824
22,22.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.36518547167613236,0.10811942386273937,0.6348145283238678,0.18,-1.0073499128814138
23,23.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.3239016044191479,0.08433315061293671,0.6760983955808522,0.18,-0.39141665793838387
24,24.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.16492197399958627,0.08433315061293671,0.8350780260004137,0.2952,-0.18023011418505663
25,25.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.10072533540957389,0.08433315061293671,0.8992746645904262,0.36892800000000003,-0.10616676882543885
26,26.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.07228152438179895,0.08433315061293671,0.9277184756182011,0.41611392,-2.627186723527553
27,27.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.06327630628357724,0.06577985747809063,0.9367236937164228,0.41611392,-0.06536692420447823
28,28.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.050826327094368955,0.06577985747809063,0.9491736729056309,0.4463129088,-0.05216349089280112
29,29.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.04411451461916193,0.06577985747809063,0.9558854853808381,0.465640261632,-0.045117158272039166
30,30.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,1.0,1.0,0.04027177448289063,0.06577985747809063,0.9597282255171093,0.47800976744448,-0.04110513301985506
31,31.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.0861119645958262,0.06577985747809063,0.9138880354041738,0.37284761860669435,-0.09004721458946734
32,32.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.06214214423587942,0.06577985747809063,0.9378578557641206,0.4186224759082844,-0.06415688115631196
33,33.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.11860199808575156,0.06577985747809063,0.8813980019142484,0.32652553120846184,-0.12624599352230617
34,34.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.07683648457085121,0.06577985747809063,0.9231635154291488,0.3889763399734156,-0.07994890369168968
35,35.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.05767225533479276,0.06577985747809063,0.9423277446652073,0.42894485758298595,-0.059402140644344806
36,36.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.04786396422819985,0.06577985747809063,0.9521360357718002,0.454524708853111,-0.04904735968097202
37,37.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.09786728215466348,0.06577985747809063,0.9021327178453366,0.3545292729054266,-0.10299363244232777
38,38.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.06761024699037865,0.06577985747809063,0.9323897530096213,0.406898734659473,-2.693995724722806
39,39.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.19442096538846707,0.222099108785978,0.805579034611533,0.406898734659473,-1.637729546122337
40,40.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.3425471169162251,0.3221434296230259,0.6574528830837749,0.406898734659473,-1.0713460631028036
41,41.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.2319862224001665,0.25127187510596016,0.7680137775998335,0.406898734659473,-0.2639476064122608
42,42.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.18924114321141963,0.25127187510596016,0.8107588567885804,0.4404151901820627,-1.6647331871709623
43,43.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.1323684403884057,0.19599206258264892,0.8676315596115943,0.4404151901820627,-0.1419881249284429
44,44.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.1145401200496099,0.19599206258264892,0.8854598799503902,0.46186572171652013,-0.12164813057744495
45,45.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.10425792702788263,0.19599206258264892,0.8957420729721174,0.4755940618985729,-0.11010277243476108
46,46.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.09811291811054632,0.19599206258264892,0.9018870818894538,0.48438019961508666,-2.3216362379962154
47,47.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.07242318281808387,0.15287380881446616,0.9275768171819162,0.48438019961508666,-0.07517966617060103
48,48.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,1.0,1.0,0.0695706093129104,0.15287380881446616,0.9304293906870896,0.49000332775365546,-0.072109088974067
49,49.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.14628163432394825,0.15287380881446616,0.8537183656760517,0.38220259564785125,-0.15815392216453641
50,50.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.11004556204196886,0.15287380881446616,0.8899544379580312,0.4246096612146248,-2.2068607985654842
51,51.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.08714645918016174,0.11924157087528361,0.9128535408198383,0.4246096612146248,-0.09117982656741581
52,52.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.0719069846295061,0.11924157087528361,0.9280930153704938,0.4517501831773599,-0.07462331913856228
53,53.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.06348431317105495,0.11924157087528361,0.936515686828945,0.4691201172335103,-0.06558900675355657
54,54.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.05858601572444622,0.11924157087528361,0.9414139842755537,0.4802368750294466,-0.06037229536065693
55,55.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,1.0,0.0,0.12301556012785224,0.11924157087528361,0.8769844398721478,0.37458476252296835,-0.13126602921644343
56,56.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.09017646979442548,0.11924157087528361,0.9098235302055746,0.4197342480146997,-0.09450462112772556
57,57.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.16781918328122286,0.11924157087528361,0.8321808167187771,0.3273927134514658,-0.18370553398619927
58,58.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.2597797870360414,0.11924157087528361,0.7402202129639585,0.25536631649214336,-1.3479209797891487
59,59.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,1.0,0.0,0.5018236243522627,0.25631460536018147,0.49817637564773726,0.25536631649214336,-0.6968010966928103
60,60.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.33846267333314045,0.25631460536018147,0.6615373266668596,0.34343444255497174,-0.4131888697071305
61,61.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.47777569219339255,0.25631460536018147,0.5222243078066074,0.26787886519287796,-0.6496580749559542
62,62.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.5900997176639035,0.25631460536018147,0.40990028233609666,0.2089455148504448,-0.5274637433737913
63,63.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.7386953674662549,0.3440413474305161,0.2613046325337452,0.2089455148504448,-1.3420683778192095
64,64.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,1.0,0.0,0.8010386820146885,0.3440413474305161,0.19896131798531141,0.16297750158334695,-1.6146448551356307
65,65.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.6128969177777407,0.3440413474305161,0.38710308222225925,0.284305601013342,-0.4895585174185134
66,66.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,1.0,0.0,0.709177192430443,0.4001864623555303,0.29082280756955703,0.284305601013342,-1.235041105966514
67,67.0,0.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.7977876048676241,0.4001864623555303,0.20221239513237588,0.22175836879040678,-0.2259128762727589
68,68.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.6671416055819969,0.31214544063731364,0.3328583944180032,0.22175836879040678,-0.40475295337755657
69,69.0,0.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.7712702744639595,0.37977308200788074,0.22872972553604048,0.22175836879040678,-0.2597164163103792
70,70.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.8246874195558315,0.42305477248504364,0.17531258044416848,0.22175836879040678,-0.19275084982953056
71,71.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.6968822319451913,0.32998272253833405,0.3031177680548088,0.22175836879040678,-0.361138846708303
72,72.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5680900258816888,0.25738652357990055,0.43190997411831134,0.22175836879040678,-0.5654753765496138
73,73.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.7202929972029007,0.3447273750911364,0.27970700279709926,0.22175836879040678,-0.3280972091903049
74,74.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5896528933905618,0.26888735257108637,0.4103471066094382,0.22175836879040678,-0.5282212314954874
75,75.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.7315566779918508,0.3520879056454953,0.2684433220081493,0.22175836879040678,-1.3151154785334256
76,76.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5577460810297529,0.3520879056454953,0.44225391897024724,0.32192535602586037,-0.583851472086376
77,77.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.6551200995851304,0.405336259613117,0.34487990041486966,0.32192535602586037,-0.422936702009698
78,78.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.4889189809972251,0.31616228249823125,0.5110810190027749,0.32192535602586037,-0.6712271514385578
79,79.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.3687783882911276,0.31616228249823125,0.6312216117088725,0.3860322278565506,-0.9975593890950374
80,80.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.25492699803638635,0.24660658034862037,0.7450730019636137,0.3860322278565506,-1.3667780570205352
81,81.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.4083476969752126,0.33782821142311703,0.5916523030247876,0.3860322278565506,-0.5248361426132353
82,82.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.3348336791067247,0.33782821142311703,0.6651663208932752,0.4270606258281924,-0.4077181629912973
83,83.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.29144236277362656,0.33782821142311703,0.7085576372263734,0.45331880053004314,-0.34452387209970703
84,84.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.2654834233392015,0.33782821142311703,0.7345165766607985,0.4701240323392276,-1.3262028758832216
85,85.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,1.0,1.0,0.16947263055485187,0.2635060049100313,0.830527369445148,0.4701240323392276,-0.1856943950893261
86,86.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,1.0,1.0,0.3113586949861312,0.2635060049100313,0.6886413050138687,0.36669674522459755,-0.3730347458309851
87,87.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.4568051401187138,0.2635060049100313,0.5431948598812862,0.2860234612751861,-0.6102871654457389
88,88.0,0.0,0.0,0.2,0.1,0.8,0.4,0.5,1.0,1.0,0.3173966657933582,0.2635060049100313,0.6826033342066419,0.3630550152161191,-0.38184135795269064
89,89.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.24140465826208596,0.2635060049100313,0.758595341737914,0.41235520973831624,-1.4212806736445485
90,90.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,1.0,1.0,0.16925349729268982,0.2055346838298244,0.8307465027073102,0.41235520973831624,-0.18543058155790737
91,91.0,0.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.29047149406236317,0.2055346838298244,0.7095285059376368,0.3216370635958867,-1.236249834656889
92,92.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.2242753380412208,0.16031705338726304,0.7757246619587792,0.3216370635958867,-0.2539576388248153
93,93.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.14996809825961327,0.16031705338726304,0.8500319017403868,0.38584772070136747,-0.16248139874278394
94,94.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.11395488030267192,0.16031705338726304,0.8860451196973281,0.4269425412488752,-0.12098740450741378
95,95.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.09506706432361342,0.16031705338726304,0.9049329356763866,0.4532432263992801,-0.0998944422530519
96,96.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.18448506029088813,0.16031705338726304,0.8155149397091118,0.3535297165914385,-1.690186792813256
97,97.0,0.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.3668879836198645,0.28260291416784833,0.6331120163801355,0.3535297165914385,-0.45710791138767126
98,98.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5131695210446408,0.28260291416784833,0.48683047895535914,0.275753178941322,-0.6671490380186523
99,99.0,0.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.6580717324484713,0.3608658650674229,0.3419282675515287,0.275753178941322,-0.4184413377194833
100,100.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5,0.0,0.5,0.0,-0.6931471805599453
101,101.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.7997312284440788,0.18,0.20026877155592118,0.0,-0.22347957220780884
102,102.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.9064270520486881,0.2952,0.09357294795131188,0.0,-0.0982447241171888
103,103.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.944690239567683,0.36892800000000003,0.05530976043231692,0.0,-0.056898194040157966
104,104.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.960867240897921,0.41611392,0.03913275910207902,0.0,-0.039919026383382655
105,105.0,1.0,1.0,0.8,0.4,0.2,0.1,0.0,0.0,1.0,0.9687254394231356,0.4463129088,0.03127456057686439,0.0,-0.031774051489506766
106,106.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9357085533067082,0.34812406886400005,0.06429144669329179,0.0,-0.06645122566402395
107,107.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9568290510491128,0.40279940407296,0.043170948950887265,0.0,-0.04413053352815347
108,108.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9666773629627056,0.4377916186066944,0.033322637037294406,0.0,-0.03389048660306614
109,109.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9718018951216546,0.4601866359082844,0.02819810487834545,0.0,-0.028603306897341276
110,110.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9746709900846137,0.474519446981302,0.025329009915386367,0.0,-0.025655310999088424
111,111.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.976355843773349,0.4836924460680333,0.023644156226650906,0.0,-0.023928164987226597
112,112.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9773762291657169,0.4895631654835413,0.022623770834283182,0.0,-0.022883614918895
113,113.0,1.0,1.0,0.8,0.4,0.2,0.1,0.5,0.0,1.0,0.9780065676680493,0.4933204259094664,0.021993432331950676,0.0,-0.02223889356286461
114,114.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.9784009408282403,0.4957250725820585,0.02159905917175974,0.0,-0.021835733010863025
115,115.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.9786497015948568,0.4972640464525174,0.021350298405143263,0.0,-0.02158151294873091
116,116.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.9518269853848444,0.3878659562329636,0.04817301461515553,0.0,-0.04937199874826045
117,117.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.9111044724762413,0.3025354458617116,0.08889552752375869,0.0,-0.09309770939912168
118,118.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,1.0,1.0,0.8599906938483168,0.23597764777213504,0.14000930615168314,0.0,-1.96604638607001
119,119.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,1.0,1.0,0.6060162868780334,0.23597764777213504,0.3939837131219665,0.18,-0.9314457077925031
120,120.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.6759481143191947,0.23597764777213504,0.32405188568080534,0.1404,-0.3916389598505977
121,121.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.5831859491573572,0.18406256526226533,0.41681405084264284,0.1404,-0.5392491912436328
122,122.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.7704350840929702,0.2978000417678498,0.2295649159070298,0.1404,-0.2607998794352307
123,123.0,1.0,2.0,0.5,0.25,0.5,0.25,0.5,0.0,1.0,0.8545456829921921,0.3705920267314239,0.14545431700780787,0.1404,-0.15718531619115939
124,124.0,1.0,2.0,0.5,0.25,0.5,0.25,0.0,0.0,1.0,0.8936965396831914,0.4171788971081113,0.10630346031680867,0.1404,-0.11238900250203884
125,125.0,1.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.8058197737518978,0.3253995397443268,0.19418022624810224,0.1404,-0.21589516724588173
126,126.0,1.0,0.0,0.2,0.1,0.8,0.4,0.5,0.0,0.0,0.7052442685089959,0.2538116410005749,0.29475573149100415,0.1404,-0.34921105602565183
127,127.0,1.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.8255122576482643,0.3424394502403679,0.17448774235173564,0.1404,-0.19175116697597036
128,128.0,1.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.7260427254096293,0.267102771187487,0.2739572745903708,0.1404,-0.3201464154624727
129,129.0,1.0,0.0,0.2,0.1,0.8,0.4,0.0,0.0,0.0,0.6277594174052018,0.20834016152623985,0.3722405825947982,0.1404,-0.46559827921674324
